Nom du projecteur,Adresse IP,Marque,Modèle,Référence,Lampe,Commentaire
VP01,192.168.0.1,BARCO,G60-W10,9464145275,2403,
VP02,192.168.0.2,BARCO,G60-W10,9465934076,6225,
VP03,192.168.0.3,BARCO,G60-W10,9465934027,6122,
VP04,192.168.0.4,BARCO,G60-W10,9464919045,7474,
VP05,192.168.0.5,BARCO,G60-W10,9465934023,6635,
VP06,192.168.0.6,BARCO,G60-W10,9465121024,6718,
VP07,192.168.0.7,BARCO,G60-W8,9462152025,2368,
VP08,192.168.0.8,BARCO,G60-W10,9465121018,6271,
VP09,192.168.0.9,BARCO,G60-W10,9464145206,6228,
VP10a,192.168.0.10,BARCO,G60-W10,9464903028,8257,
VP10b,192.168.0.209,BARCO,G62-W11,9562228115,3428,
VP11,192.168.0.11,BARCO,G62-W9,9560235056,2277,
VP12,192.168.0.12,BenQ,LU960ST2,WUXGA,2327,
VP13a,192.168.0.13,BARCO,G60-W10,9465102007,7457,
VP13b,192.168.0.213,BARCO,G60-W10,9465934029,5347,
VP14a,192.168.0.14,BARCO,G62-W9,9560240076,2276,
VP14b,192.168.0.214,BARCO,G62-W9,9560235013,2260,
VP15,192.168.0.15,BARCO,G62-W11,9562220066,2304,
VP16a,192.168.0.16,BARCO,G60-W10,9464931078,11495,
VP16b,192.168.0.243,,,,,Pas de connexion
VP16c,192.168.0.53,BARCO,G62-W11,9562228099,2305,
VP17a,192.168.0.17,BARCO,G60-W8,9462152029,3859,
VP17b,192.168.0.217,BARCO,G62-W9,9560235136,2261,
VP17c,192.168.0.54,BARCO,G60-W8,9462152038,3138,
VP18,192.168.0.18,BARCO,G60-W10,9465132005,9986,
VP19a,192.168.0.19,BARCO,G62-W11,9562225037,6100,
VP19b,192.168.0.219,BARCO,G60-W10,9465102010,12186,
VP20a,192.168.0.20,BARCO,G60-W10,9464145305,8816,
VP20b,192.168.0.220,BARCO,G60-W10,9464931005,12916,
VP21,192.168.0.21,BARCO,G60-W10,9465934046,6524,
VP22,192.168.0.22,BARCO,G60-W10,9465941016,7822,
VP23a,192.168.0.23,BARCO,G62-W9,9560235049,2245,
VP23b,192.168.0.223,BARCO,G62-W11,9562226073,2288,
VP24,192.168.0.24,BARCO,G60-W10,9465934041,2330,
VP25,192.168.0.25,BARCO,G60-W10,9464941115,2610,
VP26,192.168.0.26,BARCO,G60-W8,9462152001,1718,
VP27a,192.168.0.27,BARCO,G62-W9,9560235132,2245,
